src/features/auth/types/mock-session.ts(10,5): error TS2353: Object literal may only specify known properties, and 'name' does not exist in type 'SessionUser'.
src/features/auth/types/mock-session.ts(18,72): error TS2322: Type '"employer"' is not assignable to type 'UserRole'.
src/features/auth/types/mock-session.ts(19,78): error TS2322: Type '"employer"' is not assignable to type 'UserRole'.
src/features/cv/components/templates/TemplateCard.tsx(10,5): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_INTERN'.
src/features/cv/components/templates/TemplateCard.tsx(11,5): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_LEADER'.
src/features/cv/components/templates/TemplateCard.tsx(12,5): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_SENIOR'.
src/features/cv/components/templates/TemplateCard.tsx(13,5): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_SALES_ADMIN'.
src/features/cv/components/templates/TemplateCard.tsx(14,5): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_CHRO'.
src/features/cv/components/templates/TemplateCard.tsx(15,5): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_SALES_EXEC'.
src/features/cv/components/templates/TemplateCard.tsx(16,5): error TS2724: '"@/features/cv/data/mock-data"' has no exported member named 'MOCK_DATA_BA'. Did you mean 'MOCK_DATA_MAP'?
src/features/cv/components/templates/TemplatePreviewModal.tsx(9,10): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_INTERN'.
src/features/cv/components/templates/TemplatePreviewModal.tsx(9,28): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_LEADER'.
src/features/cv/components/templates/TemplatePreviewModal.tsx(9,46): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_DATA_SENIOR'.
src/features/cv/hooks/useCVData.ts(6,49): error TS2305: Module '"@/features/cv/data/mock-data"' has no exported member 'MOCK_CV_DATA'.
src/features/employer/components/applicant-drawer.tsx(322,72): error TS2339: Property 'status' does not exist on type 'EmployerApplicant'.
src/features/employer/components/applicant-drawer.tsx(330,72): error TS2339: Property 'status' does not exist on type 'EmployerApplicant'.
src/features/employer/components/applicant-drawer.tsx(330,108): error TS2339: Property 'status' does not exist on type 'EmployerApplicant'.
src/features/employer/components/applicant-drawer.tsx(330,140): error TS2339: Property 'status' does not exist on type 'EmployerApplicant'.
